,Act1(Agriculture).pdf,Act2.pdf,Act3(Premises).pdf,Total
the,337,57,149,543
of,211,30,80,321
or,151,27,38,216
is,138,17,37,192
and,138,10,35,183
in,119,27,30,176
to,80,18,52,150
land,124,11,3,138
for,106,8,18,132
agricultural,115,0,0,115
that,75,13,27,115
use,102,2,0,104
section,74,14,16,104
as,77,9,4,90
not,70,4,4,78
farm,77,0,0,77
on,65,2,9,76
act,38,20,15,73
under,51,9,12,72
be,63,1,6,70
if,56,5,6,67
premises,2,0,63,65
permitted,64,0,0,64
an,42,7,12,61
may,53,0,7,60
with,22,1,36,59
regulation,33,7,17,57
prohibited,52,0,0,52
this,38,3,9,50
by,25,9,13,47
following,35,2,9,46
bc,19,3,23,45
described,38,2,4,44
other,35,5,3,43
uses,43,0,0,43
are,33,5,2,40
information,0,0,38,38
structure,38,0,0,38
person,2,7,27,36
area,30,1,4,35
id,0,0,34,34
which,21,2,7,30
https,19,3,7,29
gov,19,3,7,29
road,12,17,0,29
calcivixldocumentlidlcompletelstatreg,19,3,7,29
bclaws,19,2,7,28
residence,28,0,0,28
all,26,1,1,28
ilwww,19,2,7,28
any,24,1,3,28
than,25,1,1,27
soil,27,0,0,27
ii,15,5,7,27
reserve,26,0,0,26
means,13,0,12,25
from,17,4,4,25
program,0,0,24,24
producer,0,0,23,23
division,23,0,0,23
residential,22,1,0,23
constructed,19,4,0,23
conditions,22,0,1,23
non,23,0,0,23
organization,0,0,23,23
used,18,5,0,23
part,21,1,0,22
structures,21,0,0,21
event,21,0,0,21
minister,0,3,17,20
purposes,10,2,8,20
within,12,2,5,19
production,18,1,0,19
columbia,6,4,9,19
subsection,11,1,7,19
necessary,19,0,0,19
british,6,4,9,19
produced,18,0,0,18
number,3,0,15,18
one,14,0,4,18
fill,18,0,0,18
reg,15,2,1,18
subject,9,2,6,17
site,2,2,13,17
must,5,0,12,17
referred,12,2,3,17
respect,3,0,14,17
less,17,0,0,17
accommodation,17,0,0,17
ancillary,14,2,0,16
met,15,0,1,16
alcohol,16,0,0,16
additional,10,0,5,15
but,15,0,0,15
at,11,0,4,15
who,2,0,13,15
does,15,0,0,15
has,7,6,2,15
government,14,0,1,15
existing,15,0,0,15
commingling,0,0,14,14
purpose,14,0,0,14
activity,14,0,0,14
conducted,14,0,0,14
total,14,0,0,14
animal,1,0,13,14
forest,8,6,0,14
located,12,0,1,13
parcel,12,0,1,13
enrolment,0,0,13,13
product,13,0,0,13
constructing,12,0,0,12
designated,11,1,0,12
compost,12,0,0,12
assessment,3,8,0,11
environment,11,0,0,11
aggregate,11,0,0,11
works,11,0,0,11
interest,0,11,0,11
both,9,0,2,11
no,9,0,2,11
applies,6,0,5,11
facility,11,0,0,11
meaning,4,5,2,11
tourism,10,0,0,10
including,9,0,1,10
agri,10,0,0,10
controlled,9,1,0,10
required,2,0,8,10
responsible,1,3,6,10
enrol,0,0,10,10
size,10,0,0,10
products,9,0,1,10
prescribed,4,1,5,10
producing,10,0,0,10
crown,1,7,2,10
right,10,0,0,10
facilities,7,0,3,10
emergency,0,0,10,10
only,8,1,1,10
applicable,8,0,2,10
accordance,7,0,3,10
interests,0,10,0,10
after,6,0,3,9
director,0,0,9,9
removed,9,0,0,9
identification,0,0,9,9
maintaining,9,0,0,9
local,7,0,2,9
member,0,0,9,9
way,9,0,0,9
it,9,0,0,9
operating,7,1,1,9
operation,8,0,1,9
licence,3,5,1,9
service,6,3,0,9
established,7,2,0,9
animals,2,0,7,9
wildlife,6,3,0,9
sites,1,4,4,9
development,5,4,0,9
am,6,2,0,8
water,7,0,1,8
whether,7,0,1,8
exempt,0,8,0,8
paragraph,7,0,1,8
least,7,0,1,8
june,5,1,2,8
occupied,4,4,0,8
before,6,0,2,8
out,5,0,3,8
december,7,1,0,8
residences,8,0,0,8
conducting,8,0,0,8
cannabis,8,0,0,8
canada,2,2,4,8
services,8,0,0,8
enactment,6,1,1,8
connection,7,0,0,7
enrolled,0,0,7,7
gathering,7,0,0,7
first,7,0,0,7
agreement,0,3,4,7
sch,2,5,0,7
construct,7,0,0,7
same,2,5,0,7
each,6,0,1,7
traceability,0,0,7,7
july,4,0,3,7
kept,2,0,5,7
placed,7,0,0,7
more,7,0,0,7
apply,6,0,1,7
nation,7,0,0,7
activities,6,1,0,7
permit,0,7,0,7
case,7,0,0,7
held,5,2,0,7
manufactured,6,0,0,6
livestock,5,0,1,6
was,6,0,0,6
access,5,1,0,6
king,2,2,2,6
horse,6,0,0,6
home,6,0,0,6
type,2,0,4,6
between,4,1,1,6
include,5,1,0,6
operate,6,0,0,6
interpretation,2,2,2,6
been,4,0,2,6
association,4,0,2,6
assigned,0,0,6,6
victoria,2,2,2,6
volume,6,0,0,6
maintain,6,0,0,6
areas,6,0,0,6
mineral,0,6,0,6
ha,6,0,0,6
exceed,6,0,0,6
similar,6,0,0,6
printer,2,2,2,6
cidery,6,0,0,6
parcels,6,0,0,6
pre,6,0,0,6
form,0,0,6,6
give,0,0,6,6
construction,6,0,0,6
schedule,0,0,6,6
recycled,6,0,0,6
providing,6,0,0,6
roads,5,1,0,6
copyright,2,2,2,6
administration,0,3,3,6
winery,6,0,0,6
amendments,4,1,0,5
maintained,1,4,0,5
licensing,5,0,0,5
asphalt,5,0,0,5
limited,5,0,0,5
research,4,0,1,5
notice,0,0,5,5
numbers,0,0,5,5
unless,5,0,0,5
into,4,0,1,5
bedrooms,5,0,0,5
do,3,1,1,5
storing,5,0,0,5
class,4,1,0,5
classified,5,0,0,5
control,5,0,0,5
primary,5,0,0,5
february,5,0,0,5
enactments,5,0,0,5
health,0,0,5,5
cider,5,0,0,5
en,5,0,0,5
set,5,0,0,5
tenure,0,4,1,5
removal,5,0,0,5
testing,5,0,0,5
improvement,0,5,0,5
link,2,2,1,5
marketing,1,0,4,5
alteration,5,0,0,5
dealt,0,0,5,5
wine,5,0,0,5
without,3,0,2,5
single,5,0,0,5
commission,4,0,1,5
concrete,5,0,0,5
special,3,2,0,5
date,4,0,0,4
multiple,4,0,0,4
matter,4,0,0,4
liability,0,4,0,4
applying,4,0,0,4
altered,4,0,0,4
base,4,0,0,4
natural,2,1,1,4
utility,4,0,0,4
lands,3,1,0,4
law,4,0,0,4
issued,2,1,1,4
sales,3,0,1,4
currently,0,0,4,4
upgrading,4,0,0,4
iii,2,0,2,4
time,3,1,0,4
boarding,3,0,1,4
organic,4,0,0,4
increase,4,0,0,4
being,3,1,0,4
transportation,1,3,0,4
floor,4,0,0,4
given,1,0,3,4
generally,2,0,2,4
read,4,0,0,4
range,1,1,2,4
sharing,0,0,4,4
cessation,0,0,4,4
secondary,4,0,0,4
harvested,4,0,0,4
subparagraph,4,0,0,4
giving,0,0,4,4
driveway,4,0,0,4
recreation,3,1,0,4
term,4,0,0,4
park,4,0,0,4
parks,4,0,0,4
sleeping,4,0,0,4
exchanges,0,0,4,4
either,2,0,2,4
farming,4,0,0,4
force,4,0,0,4
principal,4,0,0,4
property,0,4,0,4
protection,4,0,0,4
limits,4,0,0,4
manner,0,0,4,4
provided,4,0,0,4
width,4,0,0,4
made,1,1,2,4
lounge,4,0,0,4
liquor,4,0,0,4
what,0,4,0,4
well,2,1,0,3
affected,0,0,3,3
make,3,0,0,3
annual,3,0,0,3
wood,3,0,0,3
year,3,0,0,3
enhancement,0,3,0,3
lines,3,0,0,3
will,3,0,0,3
except,3,0,0,3
consolidation,1,1,1,3
consolidated,1,1,1,3
silviculture,1,2,0,3
provisions,1,1,1,3
produce,3,0,0,3
commercial,3,0,0,3
siting,3,0,0,3
provides,2,0,1,3
exploration,0,3,0,3
ski,0,3,0,3
provide,3,0,0,3
contents,1,1,1,3
changes,0,0,3,3
granted,0,3,0,3
suite,3,0,0,3
plants,1,1,1,3
receives,0,0,3,3
settlement,3,0,0,3
short,3,0,0,3
practices,2,1,0,3
flood,3,0,0,3
gas,1,2,0,3
pdf,1,1,1,3
system,2,0,1,3
subdivision,3,0,0,3
pavement,3,0,0,3
owner,2,0,1,3
have,2,0,1,3
cm,3,0,0,3
forestry,3,0,0,3
food,3,0,0,3
stored,3,0,0,3
procedure,3,0,0,3
business,0,0,3,3
heritage,3,0,0,3
highway,3,0,0,3
tourist,3,0,0,3
over,3,0,0,3
hill,0,3,0,3
drainage,3,0,0,3
relevant,1,1,1,3
repealed,3,0,0,3
there,3,0,0,3
carried,0,0,3,3
keeping,2,0,1,3
distillery,3,0,0,3
current,1,1,1,3
disclaimer,1,1,1,3
dedicated,3,0,0,3
declaration,0,0,3,3
board,0,0,3,3
biosolids,3,0,0,3
bedroom,3,0,0,3
inside,3,0,0,3
intended,3,0,0,3
basis,3,0,0,3
beverage,3,0,0,3
attending,3,0,0,3
retail,3,0,0,3
riding,3,0,0,3
description,0,0,3,3
deposited,1,1,1,3
meadery,3,0,0,3
definition,2,0,1,3
zoos,1,0,2,3
waste,3,0,0,3
level,3,0,0,3
limiting,1,0,2,3
days,0,0,3,3
assignment,0,0,3,3
mine,0,3,0,3
members,1,0,2,3
laws,3,0,0,3
lawfully,3,0,0,3
its,2,0,1,3
respecting,2,0,1,3
those,2,1,0,3
outdoors,3,0,0,3
how,0,0,3,3
housing,0,3,0,3
brewery,3,0,0,3
types,0,0,3,3
begins,3,0,0,3
includes,2,1,0,3
process,2,0,0,2
processing,2,0,0,2
fee,2,0,0,2
prospecting,2,0,0,2
protected,2,0,0,2
egg,0,0,2,2
education,2,0,0,2
railbed,2,0,0,2
continued,2,0,0,2
conservation,2,0,0,2
provincial,0,1,1,2
erected,2,0,0,2
elevation,2,0,0,2
engages,2,0,0,2
engaged,0,0,2,2
location,0,1,1,2
where,0,2,0,2
viewing,2,0,0,2
widening,2,0,0,2
whom,1,0,1,2
managed,1,1,0,2
mammals,0,0,2,2
management,2,0,0,2
were,2,0,0,2
cattle,1,0,1,2
passive,2,0,0,2
people,2,0,0,2
payable,2,0,0,2
permanent,2,0,0,2
having,2,0,0,2
habitat,0,2,0,2
permanently,2,0,0,2
petting,1,0,1,2
petroleum,0,2,0,2
plan,0,0,2,2
persons,1,0,1,2
supportive,0,2,0,2
surface,2,0,0,2
suites,2,0,0,2
glass,2,0,0,2
greenhouse,2,0,0,2
plant,1,1,0,2
gravel,1,1,0,2
change,2,0,0,2
surveying,2,0,0,2
greater,1,1,0,2
charge,2,0,0,2
field,2,0,0,2
point,1,1,0,2
generating,2,0,0,2
raised,2,0,0,2
received,2,0,0,2
seasonal,2,0,0,2
school,2,0,0,2
scenery,2,0,0,2
sawmill,2,0,0,2
forested,2,0,0,2
comes,2,0,0,2
clean,2,0,0,2
state,0,0,2,2
spirits,2,0,0,2
species,0,0,2,2
follows,0,0,2,2
floodplain,2,0,0,2
ss,1,0,1,2
station,2,0,0,2
address,1,0,1,2
alcoholic,2,0,0,2
complete,2,0,0,2
complying,2,0,0,2
programs,1,0,1,2
endorsement,2,0,0,2
extends,2,0,0,2
exploring,2,0,0,2
society,0,1,1,2
immediately,2,0,0,2
recycling,2,0,0,2
recovering,0,0,2,2
horses,1,0,1,2
homes,2,0,0,2
timber,2,0,0,2
tourists,2,0,0,2
regs,0,2,0,2
related,2,0,0,2
regardless,2,0,0,2
registered,0,1,1,2
temporary,1,1,0,2
temporarily,2,0,0,2
name,0,0,2,2
bees,0,0,2,2
beer,2,0,0,2
becoming,0,0,2,2
indoors,2,0,0,2
occurs,1,0,1,2
occupation,2,0,0,2
up,1,1,0,2
training,2,0,0,2
infrastructure,2,0,0,2
ousted,2,0,0,2
birds,0,0,2,2
biodiversity,2,0,0,2
berming,2,0,0,2
belongs,2,0,0,2
treatments,0,2,0,2
through,1,0,1,2
ifthe,1,0,1,2
order,1,1,0,2
operated,2,0,0,2
duty,0,0,2,2
ecological,2,0,0,2
dikes,2,0,0,2
relieved,2,0,0,2
cabin,1,1,0,2
deemed,0,0,2,2
disclose,0,0,2,2
keeps,0,0,2,2
defined,0,2,0,2
keep,0,0,2,2
sale,2,0,0,2
corn,2,0,0,2
mushroom,2,0,0,2
minerals,1,1,0,2
using,2,0,0,2
updated,0,0,2,2
assigning,0,0,2,2
authority,1,1,0,2
august,2,0,0,2
associated,1,1,0,2
irrigation,2,0,0,2
crop,2,0,0,2
meets,2,0,0,2
mean,2,0,0,2
vehicle,2,0,0,2
applied,2,0,0,2
veterinary,0,0,2,2
vehicular,2,0,0,2
residents,2,0,0,2
responding,0,0,2,2
dairy,0,0,2,2
dam,2,0,0,2
deals,0,0,2,2
deal,0,0,2,2
available,2,0,0,2
authorizations,2,0,0,2
mead,2,0,0,2
definitions,2,0,0,2
reservoirs,2,0,0,2
